horizon,rank,experiment,mae,rmse,r2,spearman_rho,haul_mae,haul_count,n_features,mae_vs_mean,composite
1,1,catboost_tweedie_vp1.5,1.0324147300122868,2.1289344487090167,0.2192316166897299,0.6606460043440681,7.42393317809368,1317,116,0.5286412446559325,0.19202588688163244
1,2,gbm_avg_3seeds,1.0532299453446121,2.117304935137817,0.2277383665691729,0.6612032677698682,7.278344578193266,1317,116,0.5078260293236072,0.1940192051188311
1,3,catboost_tweedie_vp1.2,1.0472201069246725,2.1198594033902523,0.22587381904328663,0.6599070117835857,7.3277564995977995,1317,116,0.5138358677435468,0.19568987412597177
1,4,catboost_tweedie_vp1.8,1.0263105304300717,2.136926192293729,0.21335880812528696,0.657725688574875,7.460012783616941,1317,116,0.5347454442381476,0.19925404700124663
1,5,lgbm_baseline,1.0544239866204277,2.1201925887017845,0.2256304559768385,0.6604820102591334,7.287357460555775,1317,116,0.5066319880477916,0.1997352629018038
1,5,lgbm_reduced,1.0544239866204277,2.1201925887017845,0.2256304559768385,0.6604820102591334,7.287357460555775,1317,116,0.5066319880477916,0.1997352629018038
1,7,loss_haul_weighted_b0.5,1.0965801238802635,2.1097587908788706,0.23323328864703607,0.6596597937693391,7.006530966914846,1317,116,0.46447585078795584,0.21815730917128798
1,8,hurdle_soft,1.0599958478820979,2.1375942975500637,0.2128668479682303,0.6490138612936114,7.320301681945452,1317,116,0.5010601267861214,0.24351803441037143
1,9,loss_haul_weighted_b1.0,1.1373376602411962,2.114595897389996,0.22971328052335438,0.6581127557835644,6.772906511447511,1317,116,0.4237183144270231,0.25161333399214414
1,10,loss_asymmetric_a1.5,1.1317226630575081,2.1127599976138556,0.23105023130831692,0.6566111554095214,6.921987089408481,1317,116,0.4293333116107112,0.2605472361186949
1,11,elasticnet_l1r0.1,1.0695615602139903,2.131139657354213,0.21761329639672433,0.642316840450843,7.351657264886031,1317,116,0.49149441445422903,0.2659861392015037
1,12,loss_linex_a0.5,0.99167117288838,2.2419982901150104,0.1340990945619368,0.6665083678866888,8.114015191960053,1317,116,0.5693848017798393,0.28077787039549673
1,13,elasticnet_l1r0.5,1.0847664883593302,2.1361739756038265,0.2139125197972256,0.6422718670713172,7.403462888374103,1317,116,0.4762894863088891,0.29309139318083405
1,14,elasticnet_l1r0.9,1.100148952229963,2.1388522410244137,0.21194014231292113,0.6429281161837207,7.436659024886304,1317,116,0.4609070224382563,0.3156358841494861
1,15,loss_asymmetric_a2.0,1.1944056402451897,2.131490164461999,0.21735591800194065,0.6512268761346887,6.726086645909659,1317,116,0.36665033442302963,0.3413198739896031
1,16,loss_haul_weighted_b2.0,1.2175215201086511,2.145439315643488,0.20707865405782333,0.6546011369777582,6.422504985856676,1317,116,0.3435344545595682,0.34409443649130245
1,17,loss_linex_a1.0,1.0058460725277563,2.311363941366851,0.07968964796549372,0.6723660464200245,8.396439520699968,1317,116,0.5552099021404631,0.3672032012696397
1,18,loss_asymmetric_a3.0,1.321258658780142,2.18322902360199,0.17889965990189127,0.6481235127710158,6.304413363072914,1317,116,0.2397973158880773,0.49832138901666845
1,19,hurdle_hard,1.1550045180297677,2.2789594275030414,0.10531361878108603,0.5384049091163918,7.040550206714983,1317,116,0.40605145663845166,0.6435705025834884
2,1,lgbm_reduced,1.0826077349399483,2.10064788313066,0.23831839383808073,0.6452821902703457,7.1002733032281125,1283,91,0.48051856922239344,0.19164876253188998
2,2,gbm_avg_3seeds,1.0838638394867475,2.1039771416070074,0.2359021445931193,0.6455384289718196,7.097495872023703,1283,116,0.4792624646755943,0.19458626752471167
2,3,lgbm_baseline,1.0837801442329293,2.1044036174619083,0.23559234815427443,0.644956479725107,7.091943781330664,1283,116,0.47934615992941243,0.19533010918453306
2,4,catboost_tweedie_vp1.2,1.0719387873350972,2.1148180928923237,0.22800767809481548,0.64303929391423,7.22379375032944,1283,116,0.4911875168272446,0.20708965462466578
2,5,catboost_tweedie_vp1.5,1.0751922247255272,2.116926639304224,0.22646750485438805,0.6405154551725528,7.204696659457325,1283,116,0.48793407943681455,0.2148271052486079
2,6,loss_haul_weighted_b0.5,1.1265745739189494,2.100481367478995,0.23843914409149436,0.6430187951867268,6.836084283497603,1283,116,0.43655173024339233,0.21563196319637637
2,7,catboost_tweedie_vp1.8,1.060162255138552,2.1277560254474137,0.2185330697266129,0.6376708269804849,7.312621964821844,1283,116,0.5029640490237899,0.22289047160189024
2,8,loss_asymmetric_a1.5,1.1646329710155163,2.1057622133385454,0.2346050315500816,0.6420677410953404,6.738388739843856,1283,116,0.39849333314682545,0.25153242498084905
2,9,loss_haul_weighted_b1.0,1.176329968343157,2.11199837385138,0.23006492384626287,0.6405599731312687,6.594623284861794,1283,116,0.3867963358191848,0.2567029015002288
2,10,hurdle_soft,1.081321686137123,2.1393882797757953,0.2099652925059987,0.6297911073388933,7.262486342932334,1283,116,0.4818046180252187,0.2633019331058547
2,11,loss_linex_a0.5,1.0081107227125656,2.2360243857139537,0.13698167475339806,0.649520915976389,8.04615904661031,1283,116,0.5550155814497761,0.2994605615121657
2,12,elasticnet_l1r0.1,1.107958609322528,2.1396919605080544,0.20974098974745048,0.6155069372971874,7.325703215811547,1283,116,0.4551676948398138,0.32466167752627445
2,13,loss_asymmetric_a2.0,1.2403835053407328,2.1268257316471475,0.21921626357417878,0.6385595629253604,6.46730955040908,1283,116,0.32274279882160894,0.32590869028322955
2,14,elasticnet_l1r0.5,1.113360069704928,2.144542393144137,0.20615407839877264,0.618427190962296,7.380499677934114,1283,116,0.4497662344574138,0.33393513062887203
2,15,loss_haul_weighted_b2.0,1.2645966378331885,2.149453133527962,0.2025142952586353,0.6387017901958074,6.1944896619072765,1283,116,0.29852966632915323,0.34016958383807816
2,16,elasticnet_l1r0.9,1.126204830609819,2.1452312592659366,0.20564400091768742,0.6235865600826236,7.408481132098734,1283,116,0.43692147355252287,0.3411769422385136
2,17,loss_asymmetric_a3.0,1.3869683470106224,2.198123928745609,0.16598992999773665,0.6344683016148338,6.0555868548075615,1283,116,0.17615795715171934,0.4991225535144501
2,18,hurdle_hard,1.182520720856883,2.301842409954384,0.08542753658259294,0.5155975255979147,6.951459055215762,1283,116,0.3806055833054587,0.6741545778623869
3,1,gbm_avg_3seeds,1.1052392563696727,2.111776459147718,0.22596236993526775,0.6301368927827713,7.095486609901756,1240,116,0.45749316999700484,0.19225605732091366
3,2,lgbm_reduced,1.1019026299358414,2.109608274772051,0.2275509800802643,0.6276867853883914,7.1473093676299895,1240,70,0.4608297964308361,0.1979985841881921
3,3,lgbm_baseline,1.1071865252176643,2.1153974463970484,0.22330566515929584,0.6292548795092305,7.088130556209249,1240,116,0.4555459011490133,0.1981366048324334
3,4,catboost_tweedie_vp1.2,1.1040436107890452,2.1149376059583953,0.22364330066642657,0.6283122238541977,7.173696283956948,1240,116,0.4586888155776323,0.20415506545221002
3,5,hurdle_soft,1.097089351120656,2.1195290465184335,0.22026876619136448,0.6259898121224473,7.158435783520571,1240,116,0.46564307524602144,0.2052332490946159
3,6,catboost_tweedie_vp1.5,1.1113781024783747,2.1152377444556545,0.22342293381835598,0.6275070850688417,7.125027679905412,1240,116,0.4513543238883029,0.20937602066698824
3,7,loss_haul_weighted_b0.5,1.1543491683079365,2.113394206974792,0.22477599690030792,0.6282870177290791,6.794076662962767,1240,116,0.408383258058741,0.22004873218495982
3,8,catboost_tweedie_vp1.8,1.0892737566345514,2.130906625093631,0.21187514283995612,0.6209000369114668,7.339972678617391,1240,116,0.47345866973212614,0.2329657248621092
3,9,loss_asymmetric_a1.5,1.1938408127037858,2.112964409532192,0.2250912768540435,0.6282025986565243,6.707388863232956,1240,116,0.3688916136628917,0.25034335796239704
3,10,loss_linex_a0.5,1.0213940260400685,2.231448978315114,0.13574856686344572,0.6369049928702691,8.020381901323132,1240,116,0.5413384003266091,0.2530234828322959
3,11,loss_haul_weighted_b1.0,1.2063146204201944,2.122189110773245,0.21831037195873104,0.6276559848726977,6.534226940352293,1240,116,0.3564178059464831,0.2556649531141619
3,12,elasticnet_l1r0.1,1.1218964051715168,2.139776601328071,0.20530029053533072,0.6033970342485185,7.326293822168948,1240,116,0.44083602119516074,0.3126567649909898
3,13,elasticnet_l1r0.5,1.1315196091872908,2.143771354870679,0.20233026755346806,0.60617115812577,7.374437235853548,1240,116,0.43121281717938675,0.32141710860817313
3,14,elasticnet_l1r0.9,1.1455021225002826,2.1443621605123475,0.20189054461772127,0.6110498233809233,7.399951067547467,1240,116,0.4172303038663949,0.32488569927127253
3,15,loss_asymmetric_a2.0,1.280990098232035,2.1469437786687475,0.19996768459456737,0.6222631018085277,6.442973279669842,1240,116,0.2817423281346425,0.3492216329017315
3,16,loss_haul_weighted_b2.0,1.3009999168939663,2.1675671027036074,0.18452380453806638,0.6251995072648506,6.1420046161479025,1240,116,0.2617325094727112,0.3504688774173349
3,17,loss_linex_a1.0,1.039463195519142,2.32363991491449,0.06286136637828788,0.636006504300315,8.39770931353792,1240,116,0.5232692308475355,0.3693656678093548
3,18,loss_asymmetric_a3.0,1.443788494780804,2.2319656656813343,0.1353482892862431,0.6213351743292276,5.930754839126947,1240,116,0.11894393158587357,0.5230463960417301
3,19,hurdle_hard,1.1975543533530117,2.2711288789160493,0.10473883630158087,0.5372716557671411,6.700886281395534,1240,116,0.3651780730136658,0.5911143036788049
